mars,jupiter,sum,mean,std,len,amax,amin,planet_a,planet_b,instrument
9.0,1.0,-15.359653981702719,-0.32680114854686637,1.6164034726399115,47.0,2.9440196853853573,-4.524677777442909,mars,jupiter,sensex
9.0,2.0,8.837232603938386,0.12446806484420261,1.4674115347244776,71.0,3.6565727413917726,-4.3575310559006315,mars,jupiter,sensex
9.0,3.0,7.931181386900742,0.10168181265257362,1.5187733469301044,78.0,5.105813375140689,-4.0941099683342586,mars,jupiter,sensex
9.0,4.0,-9.130449649866634,-0.1826089929973327,0.9971399974463959,50.0,1.6411503487444357,-4.1157072137039785,mars,jupiter,sensex
9.0,5.0,-3.109310436043622,-0.05097230223022331,1.2099197152274914,61.0,2.946402427247974,-2.6658751576834283,mars,jupiter,sensex
9.0,6.0,30.06898022173374,0.41762472530185746,2.156211466901875,72.0,13.135380280126885,-2.8833003744423435,mars,jupiter,sensex
9.0,7.0,2.1170318557429675,0.028227091409906233,1.2798066236162995,75.0,4.425328554360819,-3.7955667612144084,mars,jupiter,sensex
9.0,8.0,-11.76676363912017,-0.18978651030838983,1.9294210593337469,62.0,6.4148378751671675,-5.784779568141318,mars,jupiter,sensex
9.0,9.0,5.090389420345609,0.10388549837440018,1.549905523034692,49.0,3.8682836151190614,-5.124605204474497,mars,jupiter,sensex
9.0,10.0,2.442725541636126,0.047896579247767176,1.1146925634189306,51.0,2.44657675970652,-2.141591556890854,mars,jupiter,sensex
9.0,11.0,14.145380103936557,0.2176212323682547,1.0550090231107692,65.0,2.706883120774206,-2.780796065423752,mars,jupiter,sensex
9.0,12.0,13.989102981190936,0.215216968941399,1.8243326858677158,65.0,6.894273325090916,-4.717910664698099,mars,jupiter,sensex
10.0,1.0,3.879392920382681,0.0579013868713833,1.7229591374396556,67.0,5.20751839351532,-6.030961625737474,mars,jupiter,sensex
10.0,2.0,30.715022026452317,0.5119170337742053,1.962778451832192,60.0,7.377212924156273,-3.531434913274467,mars,jupiter,sensex
10.0,3.0,13.81300821749508,0.1454000864999482,1.22160476696509,95.0,4.288523473999661,-3.6508790814495873,mars,jupiter,sensex
10.0,4.0,4.0900686663708825,0.06292413332878281,1.456251300683693,65.0,3.6088583107589445,-5.116283931025711,mars,jupiter,sensex
10.0,5.0,5.442840136177625,0.11107837012607398,1.4619789085853505,49.0,2.891384024666954,-5.936219559476386,mars,jupiter,sensex
10.0,6.0,-1.796660667147842,-0.02461178996092934,1.9606981137762531,73.0,4.948134831460682,-8.260884993435303,mars,jupiter,sensex
10.0,7.0,2.0051869232072477,0.033419782053454125,1.6669315516078076,60.0,5.711525609893275,-4.138708098145383,mars,jupiter,sensex
10.0,8.0,-2.0131935393075797,-0.0283548385817969,1.691141277889277,71.0,3.331226174740909,-7.066424442726049,mars,jupiter,sensex
10.0,9.0,-6.8615156664629815,-0.14598969503112727,1.6765168493103468,47.0,2.6252576128042993,-5.831469753001562,mars,jupiter,sensex
10.0,10.0,5.834758008556486,0.12966128907903302,1.5075172288314087,45.0,5.102248648416863,-2.105023178053056,mars,jupiter,sensex
10.0,11.0,-6.178268235504501,-0.07534473457932318,1.7862671292280996,82.0,5.513848067375204,-4.735527316172483,mars,jupiter,sensex
10.0,12.0,15.139435240266884,0.3440780736424292,1.0569675792603364,44.0,2.828893737412508,-1.7535787730149632,mars,jupiter,sensex
11.0,1.0,5.770112974536733,0.12543723857688552,1.0251961958262577,46.0,3.032870213486949,-1.9211190297021008,mars,jupiter,sensex
11.0,2.0,-6.088627617115016,-0.09367119410946179,1.2265828543741955,65.0,3.231401808081902,-3.4813229027030212,mars,jupiter,sensex
11.0,3.0,41.717723381591036,0.4795140618573682,1.2403695992258406,87.0,3.8012070068650594,-3.841478361106365,mars,jupiter,sensex
11.0,4.0,10.426989273598885,0.1428354695013546,1.2390390247876142,73.0,4.577712422479374,-3.233835608569946,mars,jupiter,sensex
11.0,5.0,0.4608442908883199,0.006777121924828234,1.219483009775231,68.0,2.582434203892303,-2.602934106843846,mars,jupiter,sensex
11.0,6.0,9.210313035051048,0.15098873827952536,1.9300899532397968,61.0,7.919697824951588,-4.666933435190401,mars,jupiter,sensex
11.0,7.0,-12.700734521661772,-0.17398266468029824,1.858572361695353,73.0,4.854003278833807,-11.138549903646444,mars,jupiter,sensex
11.0,8.0,5.22656380292195,0.08040867389110692,2.298599128575668,65.0,7.420698433203365,-6.126182220266019,mars,jupiter,sensex
11.0,9.0,-1.2261775380819189,-0.02313542524682866,1.6996645077523198,53.0,4.066082398427118,-6.034255214929463,mars,jupiter,sensex
11.0,10.0,-21.569341313542935,-0.4688987242074551,1.429543393157096,46.0,2.68989813095466,-3.371906088340626,mars,jupiter,sensex
11.0,11.0,-5.209222325529568,-0.05157645866860958,2.0650116820319693,101.0,6.427830997998285,-6.883184854922176,mars,jupiter,sensex
11.0,12.0,0.47701260838366055,0.008224355316959664,1.335074536726567,58.0,2.5020068325648293,-3.1665240874508394,mars,jupiter,sensex
12.0,1.0,16.61634274017936,0.32581064196430115,1.1165875763770394,51.0,3.0281158160519794,-2.253080928290152,mars,jupiter,sensex
12.0,2.0,-0.033895163480811785,-0.0006052707764430676,1.4246319761437076,56.0,3.6799274965541917,-4.024543390372914,mars,jupiter,sensex
12.0,3.0,2.5076855434230994,0.04399448321794911,1.2427687213904135,57.0,2.560371290432295,-2.6188790940093853,mars,jupiter,sensex
12.0,4.0,-6.785067475052951,-0.10126966380676047,1.55258159515343,67.0,3.6872320289265126,-5.7043925603482375,mars,jupiter,sensex
12.0,5.0,4.820181436656291,0.06426908582208389,1.201893576302192,75.0,3.3480608094287545,-2.7956586924959836,mars,jupiter,sensex
12.0,6.0,11.707162188128216,0.22088985260619273,1.88714366274147,53.0,5.1004385123590845,-4.145107060697217,mars,jupiter,sensex
12.0,7.0,28.176303699880293,0.3968493478856379,1.6118369239068666,71.0,8.254090864697371,-2.251253994479463,mars,jupiter,sensex
12.0,8.0,33.27650597521262,0.4436867463361683,1.9243468627209854,75.0,5.043030570042606,-4.806433164005053,mars,jupiter,sensex
12.0,9.0,27.44013985475125,0.5081507380509491,2.8064770490341764,54.0,17.33933438589976,-2.7679323754540186,mars,jupiter,sensex
12.0,10.0,-10.341839306873116,-0.13607683298517256,1.6661928292651818,76.0,6.070153178018756,-4.527587357478657,mars,jupiter,sensex
12.0,11.0,0.33623835667214674,0.004606004885919819,1.7109442591724615,73.0,4.989499823719656,-5.337434718677625,mars,jupiter,sensex
12.0,12.0,-2.68636506447829,-0.041328693299666,1.0274410216128305,65.0,2.327391946252555,-2.0858984573042583,mars,jupiter,sensex
1.0,1.0,20.81366547494992,0.3202102380761526,1.27092606914531,65.0,4.03432689958465,-3.0872623996845205,mars,saturn,sensex
1.0,2.0,6.580712162450997,0.07394058609495502,1.2226116773819549,89.0,4.265597792973774,-2.8554946639746115,mars,saturn,sensex
1.0,3.0,-0.004319043673518319,-9.189454624507062e-05,1.2919195611676009,47.0,4.063697634465435,-2.2514114529323614,mars,saturn,sensex
1.0,4.0,-21.134368256917664,-0.28951189393037896,1.3611028117592008,73.0,5.379218744678682,-3.772723791043253,mars,saturn,sensex
1.0,5.0,8.143299909366974,0.11310138763009686,1.501675934167518,72.0,4.9298472957090445,-4.439784525226786,mars,saturn,sensex
1.0,6.0,21.018550634810428,0.22846250690011335,1.5676592721242772,92.0,7.716915520579848,-3.5173851707398063,mars,saturn,sensex
1.0,7.0,14.8179692646687,0.2511520214350627,1.6311865671104886,59.0,5.683910281343185,-3.2547559498885215,mars,saturn,sensex
1.0,8.0,-5.702239463062368,-0.09051173750892647,1.8825925465750788,63.0,5.649573195393498,-7.630461492035446,mars,saturn,sensex
1.0,9.0,-2.0622604376251594,-0.03495356673940948,2.5215562591495475,59.0,5.034905104536769,-10.956435420653532,mars,saturn,sensex
1.0,10.0,34.5858429747161,0.5404037964799391,1.519545206207697,64.0,3.717233350728577,-3.7938337733334326,mars,saturn,sensex
1.0,11.0,-9.710100962193378,-0.1591819829867767,1.5050751270907132,61.0,2.5204799476786777,-5.901039436290734,mars,saturn,sensex
1.0,12.0,4.560083909409822,0.050110812191316724,1.1448693783933943,91.0,3.984811592959292,-2.8559321592375397,mars,saturn,sensex
2.0,1.0,-13.882044089018928,-0.23934558774170564,1.2323373612419732,58.0,1.9195175831392852,-4.411540856569562,mars,saturn,sensex
2.0,2.0,4.798586191499831,0.06954472741304103,1.2140391915904742,69.0,3.123975200117979,-3.8684067075770545,mars,saturn,sensex
2.0,3.0,-7.911824810522172,-0.17981420023914027,2.0222833584035866,44.0,4.516963639443716,-4.941836136915223,mars,saturn,sensex
2.0,4.0,16.472825396641426,0.21963767195521902,1.0771633803827476,75.0,3.207880859343537,-2.7159209157127995,mars,saturn,sensex
2.0,5.0,-15.460534581090723,-0.23785437817062652,1.3896177946367545,65.0,2.8122599251910962,-3.4245780915814428,mars,saturn,sensex
2.0,6.0,-11.314444226156834,-0.1616349175165262,1.1738172402586113,70.0,2.4150158721373716,-3.826281351820937,mars,saturn,sensex
2.0,7.0,9.975107570301263,0.16352635361149612,1.6161713135196853,61.0,4.42321018480869,-5.233455726088854,mars,saturn,sensex
2.0,8.0,16.818475546139254,0.2437460224078153,1.687807481511448,69.0,6.535837123344823,-3.634706058318271,mars,saturn,sensex
2.0,9.0,22.19699131035913,0.33631805015695654,2.2427781053968516,66.0,8.221009208901297,-4.513896987366373,mars,saturn,sensex
2.0,10.0,2.273275951476373,0.04457403826424261,1.6857164709647967,51.0,5.040460566045324,-4.205975438012022,mars,saturn,sensex
2.0,11.0,12.06102383812909,0.26219617039411064,1.3727609968234131,46.0,3.2318694896442013,-3.071454126100892,mars,saturn,sensex
2.0,12.0,15.890959676710583,0.1986369959588823,1.391078388927927,80.0,3.935441657579064,-4.26076392438941,mars,saturn,sensex
